Formation,DEPTH
B2000_top           ,6935
B2000_base          ,7362
B3000_top           ,7598
B3000_base          ,8377
ZZak1                 ,8382
B5000_top           ,8382
B5000_base          ,8502
B6000_top           ,8620
B6000_base          ,8717
B7000_top           ,8763
B7000_base          ,8788
ZZak2                  ,8815
B8000_top           ,8815
B8100_top           ,8815
C1000_top           ,8815
C1000_base          ,8859
C3000_top           ,8992
C3000_base          ,9018
C4000_top           ,9120
C4000_base          ,9130
C5000_top           ,9198
C5000_base          ,9370
C6000_top           ,9476
ZZak3                  ,9565
C6000_base          ,9565
C8000_top           ,9565
C8000_base          ,9577
D2000_top           ,9672
D2000_base          ,9735
D5000_top           ,9874
D5000_base          ,10018
D7000_top           ,10080
D7000_base          ,10175
D9000_top           ,10195
D9000_base          ,10230
D9500_top           ,10337
D9500_base          ,10440
E1000_top           ,10582
E1000_base          ,10750
E2000_top           ,10757
E2000_base          ,10838
E3000_top           ,10844
E3000_base          ,10930
E4000_top           ,10939
E4000_base          ,10971
E4500_top           ,10986
E4500_base          ,11104
E5000_top           ,11131
E5000_base          ,11220
E6000_top           ,11234
E6000_base          ,11335
E8000_top           ,11488
E8000_base          ,11554
F2000_top           ,11592
F2000_base          ,11650
F3000_top           ,11718
F3000_base          ,11735
F6000_top           ,11840
F6000_base          ,11900
G1100_top           ,12136
G1100_base          ,12597
G2000_top           ,12614
G2000_base          ,12708
G2500_top           ,12723
G2500_base          ,12795
G3000_top           ,12805
G3000_base          ,12817
G3500_top           ,12834
G3500_base          ,12920
G4000_top           ,12929
G4000_base          ,12998
G4500_top           ,13013
G4500_base          ,13132
G5000_top           ,13146
G5000_base          ,13213
G5500_top           ,13222
G5500_base          ,13238
G6000_top           ,13270
G6000_base          ,13330
G7000_top           ,13335
G7000_base          ,13508
G8000_top           ,13542
G8000_base          ,13588
H1000_top           ,14365
H1000_base          ,14472
H2000_top           ,14528
H2000_base          ,14590
